식품대분류명,대표식품명,열량,나트륨,탄수화물,당류,지방,트랜스지방,포화지방,콜레스테롤,단백질
밥류,돼지머리국밥,137,181.0,15.94,0.16,5.16,0.03,1.47,23.82,6.7
밥류,순대국밥,75,126.0,10.38,0.17,2.28,0.01,1.26,48.69,3.17
밥류,콩나물국밥,52,172.0,10.93,0.0,0.24,0.0,0.12,0.0,1.45
밥류,기장밥,166,1.0,36.77,0.0,0.57,0.0,0.08,0.0,3.44
밥류,김밥,140,307.0,19.98,0.0,4.55,0.02,1.1,19.3,4.84
밥류,김치김밥,130,349.0,19.17,0.29,4.03,0.02,1.06,47.38,4.3
밥류,날치알김밥,177,299.0,28.66,1.43,4.26,0.03,1.2,55.15,6.1
밥류,돈가스김밥,202,241.0,31.64,1.33,5.81,0.04,1.07,6.52,5.77
밥류,소고기김밥,179,267.0,25.78,0.03,5.56,0.17,1.6,39.04,6.46
밥류,참치김밥,174,335.0,20.26,0.71,7.22,0.04,1.4,33.45,7.0
밥류,채소김밥,158,309.0,26.65,0.14,3.65,0.02,0.99,29.93,4.6
밥류,치즈김밥,177,169.0,22.1,0.21,7.03,0.13,2.43,35.07,6.24
밥류,풋고추김밥,169,327.0,27.52,0.09,4.41,0.03,1.24,37.81,4.88
밥류,낙지덮밥,150,212.0,24.12,2.16,3.34,0.01,0.37,32.45,5.88
밥류,닭고기덮밥,125,153.0,14.82,1.07,2.18,0.01,0.79,92.29,11.4
밥류,돼지고기(제육)덮밥,202,174.0,16.86,1.98,10.77,0.05,3.42,27.94,9.43
밥류,불고기덮밥,182,253.0,26.96,0.07,5.31,0.24,1.4,15.83,6.6
밥류,오징어덮밥,135,162.0,21.94,0.66,2.01,0.0,0.24,46.44,7.18
밥류,보리밥,161,4.0,36.77,2.57,0.24,0.0,0.1,0.0,2.9
밥류,볶음밥,183,212.0,33.97,0.0,2.76,0.03,1.1,29.28,5.56
밥류,계란볶음밥,225,318.0,24.23,0.17,11.28,0.05,2.2,62.63,6.62
밥류,김치볶음밥,167,470.0,15.74,13.89,9.18,0.04,1.43,70.41,5.32
밥류,새우볶음밥,172,146.0,22.85,0.71,6.14,0.03,1.19,70.72,6.31
밥류,소고기볶음밥,176,215.0,21.76,0.08,6.48,0.07,1.47,50.02,7.59
밥류,참치볶음밥,180,631.0,32.9,0.12,3.27,0.02,0.49,2.76,4.62
밥류,채소볶음밥,182,408.0,28.74,0.29,5.39,0.02,0.84,46.24,4.72
밥류,표고버섯볶음밥,184,299.0,31.79,0.0,4.81,0.02,0.5,0.0,3.36
밥류,비빔밥,142,232.0,18.84,0.05,4.32,0.06,0.95,42.26,6.86
밥류,돌솥비빔밥,147,337.0,24.68,1.24,2.95,0.01,0.33,9.98,5.39
밥류,육회비빔밥,147,446.0,22.92,4.45,3.36,0.01,0.77,30.56,6.39
밥류,참치마요네즈삼각김밥,199,230.0,25.45,0.0,8.21,0.03,1.0,10.47,5.93
밥류,수수밥,161,1.0,35.02,0.08,0.92,0.0,0.13,0.0,3.16
밥류,알밥,128,430.0,15.75,2.3,5.11,0.03,0.59,45.98,4.73
밥류,영양돌솥밥,184,6.0,36.06,0.63,2.87,0.01,0.61,0.0,3.43
밥류,오므라이스,173,433.0,20.54,3.19,7.23,0.02,1.38,86.99,6.5
밥류,자장밥,122,236.0,15.57,0.03,4.72,0.01,0.58,5.75,4.27
밥류,잡곡밥,146,3.0,29.33,0.32,0.87,0.0,0.22,0.0,5.3
밥류,잡채밥,150,227.0,25.79,0.05,3.42,0.05,0.41,5.91,4.02
밥류,소고기주먹밥,178,357.0,34.73,0.23,2.18,0.02,0.65,6.52,4.76
밥류,짬뽕밥,72,234.0,11.65,1.34,1.4,0.01,0.23,15.78,3.2
밥류,차조밥,157,1.0,34.86,0.04,0.65,0.0,0.14,0.0,2.84
밥류,찰밥,153,3.0,33.56,0.49,0.18,0.0,0.08,0.0,4.39
밥류,모듬초밥,160,142.0,26.72,1.4,1.59,0.02,0.41,19.43,9.66
밥류,유부초밥초밥,194,386.0,29.82,1.99,5.77,0.02,0.69,3.12,5.78
밥류,카레라이스,108,210.0,20.74,0.16,1.4,0.04,0.44,2.79,3.11
밥류,콩나물밥,123,272.0,22.39,0.04,1.58,0.01,0.42,3.14,4.68
밥류,검정콩콩밥,165,3.0,34.3,0.0,1.12,0.0,0.14,0.0,4.53
밥류,완두콩콩밥,138,295.0,31.25,0.0,0.16,0.0,0.1,0.0,2.95
밥류,하이라이스,112,246.0,21.34,0.0,1.13,0.0,0.13,2.83,4.02
밥류,현미밥,172,2.0,38.9,0.0,0.47,0.0,0.18,0.0,3.1
밥류,모듬회덮밥,145,155.0,17.76,3.07,4.15,0.03,0.85,27.38,9.1
빵 및 과자류,가래떡,195,241.0,43.73,0.0,0.51,0.0,0.19,0.0,3.92
빵 및 과자류,깨경단,240,203.0,38.58,0.61,6.72,0.0,0.99,0.0,6.28
빵 및 과자류,꿀떡,228,275.0,49.48,0.29,1.73,0.0,0.3,0.0,3.74
빵 및 과자류,모듬찰떡,218,188.0,42.27,2.98,2.44,0.0,0.28,0.0,6.78
빵 및 과자류,백설기,230,211.0,50.4,0.11,1.45,0.0,0.12,0.0,3.71
빵 및 과자류,깨송편,219,260.0,42.83,1.98,3.23,0.0,0.62,0.0,4.65
빵 및 과자류,시루떡,224,195.0,48.13,0.04,1.85,0.0,0.11,0.0,3.77
빵 및 과자류,약식,220,221.0,45.24,13.24,2.45,0.0,0.27,0.0,4.21
빵 및 과자류,인절미,242,297.0,50.07,6.35,2.16,0.0,0.24,0.0,5.64
빵 및 과자류,쑥절편,192,192.0,34.87,0.25,2.42,0.0,0.24,0.0,7.72
빵 및 과자류,증편,200,284.0,44.15,3.19,1.2,0.0,0.15,0.0,3.17
빵 및 과자류,팥찹쌀떡,295,140.0,62.93,25.95,2.53,0.0,0.13,0.0,5.06
빵 및 과자류,링도넛도넛,515,537.0,46.16,11.6,33.17,0.25,4.49,47.22,7.85
빵 및 과자류,찹쌀도넛,288,312.0,55.56,11.04,4.64,0.03,0.64,0.49,6.0
빵 및 과자류,마늘빵,438,519.0,57.94,7.36,17.58,0.18,8.66,26.68,12.06
빵 및 과자류,머핀,384,411.0,59.15,39.65,13.84,0.15,6.86,59.16,5.73
빵 및 과자류,모닝빵,314,489.0,52.17,7.97,7.43,0.06,3.03,40.54,9.5
빵 및 과자류,모카빵,339,354.0,57.96,12.53,8.05,0.31,3.76,52.07,8.55
빵 및 과자류,베이글,306,695.0,53.48,4.58,5.83,0.01,0.58,0.0,10.0
빵 및 과자류,닭가슴살샌드위치,240,438.0,20.96,3.09,11.92,0.17,3.16,28.07,12.18
빵 및 과자류,모듬샌드위치,193,358.0,8.44,0.6,13.44,0.07,3.63,82.1,9.5
빵 및 과자류,참치샌드위치,202,209.0,13.78,1.38,11.65,0.2,2.64,18.86,10.54
빵 및 과자류,채소샌드위치,244,426.0,23.82,14.26,14.75,0.06,2.88,6.42,4.08
빵 및 과자류,햄샌드위치,220,699.0,15.64,1.9,11.92,0.16,3.45,92.91,12.44
빵 및 과자류,소보로빵,392,396.0,55.63,16.69,15.13,0.57,6.39,50.53,8.27
빵 및 과자류,식빵,264,468.0,50.91,1.56,2.6,0.11,1.47,5.57,9.34
빵 및 과자류,초코소라빵,319,215.0,51.76,9.29,10.93,0.03,4.34,19.61,3.29
빵 및 과자류,츄러스,361,363.0,58.17,22.73,11.29,0.19,2.44,0.0,6.6
빵 및 과자류,카스텔라,335,63.0,47.99,33.77,11.47,0.01,1.14,211.21,10.03
빵 및 과자류,롤케이크케이크,312,143.0,44.01,24.64,11.83,0.03,1.82,142.59,7.36
빵 및 과자류,생크림케이크케이크,237,151.0,27.62,14.49,12.54,0.08,8.52,70.1,3.45
빵 및 과자류,크로와상,446,457.0,43.31,6.1,26.98,0.27,9.75,24.5,7.52
빵 및 과자류,사과파이파이/만주,185,204.0,34.83,7.11,3.91,0.17,1.95,14.39,2.54
빵 및 과자류,페이스트리,466,373.0,41.5,6.43,29.66,0.2,15.31,36.34,8.31
빵 및 과자류,콤비네이션피자피자,274,441.0,25.54,4.85,14.36,0.08,3.84,21.16,10.68
빵 및 과자류,피자빵,298,637.0,31.76,8.11,15.05,0.25,4.92,45.6,8.85
빵 및 과자류,햄버거,264,450.0,21.67,3.13,13.98,0.35,4.42,45.2,12.85
빵 및 과자류,불고기버거햄버거,250,338.0,22.68,0.13,11.52,0.38,4.34,45.93,13.88
빵 및 과자류,견과류호떡,314,211.0,57.12,0.73,7.07,0.05,0.89,0.0,5.41
면 및 만두류,간자장,125,455.0,15.13,0.86,4.89,0.03,0.8,6.05,5.12
면 및 만두류,막국수국수,133,405.0,23.9,4.88,1.61,0.02,0.46,5.53,5.8
면 및 만두류,비빔국수국수,102,239.0,20.47,4.11,0.95,0.0,0.2,1.01,3.01
면 및 만두류,잔치국수국수,44,216.0,8.05,0.04,0.49,0.0,0.16,0.6,1.93
면 및 만두류,쟁반막국수국수,119,513.0,12.81,8.12,4.56,0.04,0.88,18.97,6.68
면 및 만두류,물냉면냉면,55,161.0,10.31,4.52,0.64,0.0,0.16,15.35,1.96
면 및 만두류,비빔냉면냉면,100,177.0,13.35,4.02,2.64,0.01,0.54,47.34,5.67
면 및 만두류,회냉면냉면,148,99.0,22.21,2.84,4.02,0.0,0.27,8.88,5.81
면 및 만두류,떡국,84,176.0,16.37,0.08,0.53,0.0,0.24,16.7,3.43
면 및 만두류,떡만두국,111,206.0,15.47,0.01,3.91,0.02,0.57,11.33,3.53
면 및 만두류,라면,82,283.0,13.65,0.0,2.28,0.01,0.82,0.0,1.72
면 및 만두류,달걀라면,108,183.0,17.33,0.18,3.18,0.02,1.35,28.5,2.61
면 및 만두류,떡라면,96,270.0,15.27,0.0,2.92,0.01,1.0,0.0,2.04
면 및 만두류,고기만두만두,159,206.0,17.4,0.16,4.45,0.02,0.61,19.91,12.38
면 및 만두류,군만두만두,234,385.0,25.57,2.77,11.5,0.06,3.28,9.49,7.03
면 및 만두류,김치만두만두,152,393.0,17.02,0.35,4.76,0.0,0.1,23.27,10.24
면 및 만두류,물만두만두,195,332.0,15.61,2.13,11.13,0.05,3.08,12.13,8.06
면 및 만두류,사골만두국,87,333.0,8.94,0.06,4.0,0.06,1.71,26.25,3.74
면 및 만두류,온면메밀국수,63,194.0,12.06,0.0,0.29,0.0,0.12,0.0,3.14
면 및 만두류,수제비,58,142.0,11.08,0.0,0.52,0.0,0.15,12.85,2.31
면 및 만두류,미트볼스파게티,180,218.0,17.62,0.89,8.88,0.03,1.44,12.58,7.34
면 및 만두류,일식우동,158,157.0,30.48,0.02,3.22,0.04,0.3,0.0,1.78
면 및 만두류,우동볶음,128,257.0,24.79,0.43,2.01,0.03,0.49,0.0,2.8
면 및 만두류,월남쌈,118,230.0,12.25,5.5,4.97,0.02,2.13,31.58,5.94
면 및 만두류,자장면,88,307.0,14.37,6.07,2.22,0.01,0.38,2.05,2.69
면 및 만두류,짬뽕,58,181.0,8.26,1.57,1.54,0.01,0.25,10.52,2.79
면 및 만두류,쫄면,129,250.0,23.26,3.51,2.52,0.0,0.22,0.0,3.21
면 및 만두류,칼국수,77,220.0,14.9,0.0,0.49,0.0,0.2,17.14,3.3
면 및 만두류,바지락칼국수,82,272.0,15.97,0.18,0.53,0.0,0.11,0.33,3.43
면 및 만두류,콩국수,81,67.0,8.92,0.24,3.35,0.0,0.17,0.0,3.9
죽 및 스프류,닭죽,44,117.0,7.14,0.0,0.57,0.01,0.33,7.45,2.68
죽 및 스프류,양송이버섯스프,105,170.0,8.06,2.52,7.04,0.1,3.93,17.01,2.41
죽 및 스프류,오리죽,155,62.0,19.95,0.0,4.99,0.02,1.16,36.07,7.5
죽 및 스프류,전복죽,79,158.0,9.62,0.0,3.73,0.0,0.19,8.62,1.82
죽 및 스프류,채소죽,43,224.0,7.62,0.17,0.69,0.0,0.18,0.0,1.69
죽 및 스프류,팥죽,81,127.0,16.66,0.02,0.19,0.0,0.07,0.0,3.17
죽 및 스프류,호박죽,49,42.0,6.58,3.56,1.71,0.0,0.04,0.0,1.93
죽 및 스프류,흑임자 죽,61,159.0,3.64,0.75,4.73,0.09,0.28,0.0,1.1
국 및 탕류,갈비탕,54,199.0,0.4,0.11,2.06,0.06,0.79,31.46,8.51
국 및 탕류,감자국,21,215.0,3.67,0.85,0.26,0.0,0.03,0.0,0.9
국 및 탕류,곰탕,24,124.0,0.11,0.0,1.12,0.05,0.41,9.04,3.43
국 및 탕류,우거지곰탕,25,225.0,2.6,0.33,0.6,0.0,0.14,1.71,2.37
국 및 탕류,무굴국,25,251.0,2.93,0.14,0.36,0.0,0.09,8.78,2.41
국 및 탕류,김치국,23,208.0,2.63,0.03,0.76,0.0,0.19,4.78,1.34
국 및 탕류,콩나물김치국,12,230.0,1.15,0.49,0.47,0.0,0.09,0.6,0.82
국 및 탕류,내장탕,71,216.0,1.68,0.05,4.52,0.01,1.78,63.89,5.82
국 및 탕류,미역냉국,37,148.0,7.51,4.49,0.67,0.0,0.01,0.0,0.19
국 및 탕류,미역냉국,6,327.0,0.85,0.69,0.15,0.0,0.01,0.0,0.37
국 및 탕류,달걀국,13,246.0,0.69,0.0,0.74,0.0,0.27,31.11,0.93
국 및 탕류,순두부달걀탕,29,101.0,0.94,0.0,2.04,0.0,0.37,34.05,1.78
국 및 탕류,닭곰탕,51,170.0,2.0,0.3,1.42,0.0,0.3,36.02,7.51
국 및 탕류,도가니탕,40,150.0,0.82,0.0,0.33,0.01,0.13,18.34,8.35
국 및 탕류,감자된장국,25,357.0,3.7,0.77,0.6,0.0,0.05,0.0,1.09
국 및 탕류,냉이된장국,22,236.0,2.2,0.3,0.66,0.0,0.09,0.0,1.71
국 및 탕류,미역된장국,24,305.0,2.28,0.61,0.97,0.0,0.07,0.0,1.56
국 및 탕류,배추된장국,20,223.0,2.58,0.0,0.4,0.0,0.06,3.07,1.46
국 및 탕류,시금치된장국,9,124.0,0.98,0.11,0.17,0.0,0.03,0.64,1.02
국 및 탕류,시래기된장국,15,195.0,2.03,0.0,0.22,0.0,0.03,0.91,1.31
국 및 탕류,쑥된장국,15,243.0,1.52,0.73,0.47,0.0,0.06,0.21,1.22
국 및 탕류,아욱된장국,20,236.0,1.59,0.11,0.56,0.0,0.08,10.22,2.28
국 및 탕류,얼갈이배추된장국,9,195.0,0.85,0.06,0.41,0.0,0.02,0.0,0.5
국 및 탕류,우거지된장국,20,291.0,0.82,0.63,0.59,0.0,0.13,7.11,2.77
국 및 탕류,콩나물된장국,31,365.0,2.62,0.53,1.11,0.0,0.1,0.0,2.58
국 및 탕류,해물된장국,28,384.0,2.68,0.45,0.98,0.0,0.13,11.38,2.1
국 및 탕류,호박된장국,31,452.0,1.41,0.49,1.31,0.0,0.15,0.0,3.34
국 및 탕류,호박잎된장국,7,163.0,0.54,0.07,0.32,0.0,0.02,0.0,0.4
국 및 탕류,소고기무국,15,166.0,1.1,0.0,0.64,0.01,0.09,3.89,1.33
국 및 탕류,홍합무국,25,233.0,0.86,0.24,2.03,0.0,0.01,2.3,0.79
국 및 탕류,메밀묵묵국,22,238.0,3.57,0.28,0.4,0.0,0.03,0.0,1.0
국 및 탕류,미역국,12,168.0,0.87,0.27,0.61,0.0,0.05,0.0,0.65
국 및 탕류,대합미역국,11,232.0,0.56,0.01,0.45,0.01,0.16,3.59,1.23
국 및 탕류,새우미역국,16,5.0,1.83,0.0,0.46,0.0,0.03,11.31,1.09
국 및 탕류,소고기미역국,13,196.0,0.82,0.52,0.26,0.0,0.04,4.24,1.86
국 및 탕류,소고기배추국,16,248.0,1.14,0.0,0.41,0.01,0.09,5.58,1.84
국 및 탕류,북어국,28,232.0,0.84,0.12,0.98,0.0,0.17,21.61,3.89
국 및 탕류,사골국,55,75.0,2.81,0.0,2.42,0.08,0.94,19.12,5.56
국 및 탕류,삼계탕,101,82.0,3.84,0.45,4.8,0.03,1.29,48.19,10.68
국 및 탕류,새우탕,33,268.0,2.0,0.06,0.44,0.0,0.09,32.73,5.17
국 및 탕류,설렁탕,24,22.0,0.36,0.0,0.58,0.02,0.23,6.97,4.26
국 및 탕류,순대국,85,330.0,14.95,0.26,1.75,0.01,0.5,9.67,2.35
국 및 탕류,어묵국(어묵탕),31,226.0,3.83,0.07,1.03,0.0,0.07,2.45,1.49
국 및 탕류,오징어국,18,257.0,0.73,0.24,0.73,0.0,0.08,31.88,2.22
국 및 탕류,육개장,30,201.0,1.49,0.76,0.99,0.0,0.17,10.86,3.68
국 및 탕류,닭고기육개장,20,167.0,1.41,0.57,0.42,0.0,0.15,9.55,2.74
국 및 탕류,장어탕,67,387.0,3.68,2.66,3.91,0.02,0.63,33.75,4.32
국 및 탕류,재첩국,23,126.0,4.54,0.0,0.29,0.0,0.01,4.27,0.67
국 및 탕류,조개국,16,297.0,0.25,0.18,0.89,0.0,0.05,4.01,1.67
국 및 탕류,콩나물국,6,219.0,0.61,0.16,0.09,0.0,0.03,0.73,0.74
국 및 탕류,토란국,16,190.0,2.61,0.27,0.12,0.0,0.04,1.12,1.0
국 및 탕류,뼈다귀해장국,26,346.0,1.06,0.63,0.97,0.0,0.21,9.45,3.19
국 및 탕류,선지해장국,29,312.0,1.23,0.0,0.96,0.0,0.13,29.05,3.86
국 및 탕류,동태국,17,224.0,1.4,0.0,0.16,0.0,0.02,11.46,2.42
찌개 및 전골류,갈치찌개,38,91.0,1.95,0.98,1.0,0.0,0.3,15.04,5.27
찌개 및 전골류,감자탕,71,328.0,2.27,0.0,4.06,0.01,1.16,38.53,6.31
찌개 및 전골류,김치전골,73,299.0,5.68,0.79,4.23,0.01,0.67,7.43,3.12
찌개 및 전골류,꽁치김치찌개,89,249.0,3.54,0.7,5.18,0.72,0.93,24.25,7.14
찌개 및 전골류,돼지고기김치찌개,45,207.0,1.04,0.05,2.71,0.01,0.48,7.11,4.25
찌개 및 전골류,어묵김치찌개,38,256.0,6.31,1.6,0.59,0.0,0.15,2.51,1.82
찌개 및 전골류,참치김치찌개,51,264.0,2.9,0.15,2.82,0.03,0.26,6.54,3.59
찌개 및 전골류,햄김치찌개,31,445.0,3.17,0.04,1.39,0.01,0.45,4.39,1.47
찌개 및 전골류,꽃게탕,17,273.0,1.44,0.95,0.41,0.0,0.04,2.61,1.86
찌개 및 전골류,낙지전골,51,484.0,3.72,0.0,1.14,0.02,0.33,51.44,6.5
찌개 및 전골류,동태찌개,44,273.0,1.72,0.13,1.37,0.01,0.2,26.68,6.11
찌개 및 전골류,돼지고기찌개,48,255.0,2.26,0.13,1.51,0.0,0.21,10.95,6.25
찌개 및 전골류,된장찌개,46,318.0,4.44,0.0,1.63,0.0,0.27,0.0,3.38
찌개 및 전골류,냉이된장찌개,19,174.0,2.91,0.55,0.31,0.0,0.04,0.0,1.17
찌개 및 전골류,달래된장찌개,35,570.0,3.81,0.41,0.79,0.0,0.18,2.21,3.18
찌개 및 전골류,두부된장찌개,41,478.0,2.56,0.99,1.96,0.0,0.28,0.0,3.25
찌개 및 전골류,바지락된장찌개,23,406.0,1.18,0.56,0.72,0.0,0.17,3.81,2.88
찌개 및 전골류,고추장두부찌개,52,181.0,3.18,0.8,2.63,0.0,0.35,0.34,4.01
찌개 및 전골류,소고기두부찌개,58,195.0,6.73,0.17,1.42,0.0,0.28,6.43,4.56
찌개 및 전골류,소고기두부찌개,55,297.0,3.5,0.72,1.98,0.01,0.41,5.98,5.71
찌개 및 전골류,대구매운탕,22,250.0,0.19,0.0,0.4,0.01,0.15,19.2,4.49
찌개 및 전골류,해물매운탕,35,368.0,2.51,0.45,0.64,0.01,0.18,47.65,4.85
찌개 및 전골류,버섯전골,78,146.0,4.78,1.18,4.24,0.11,0.98,12.33,5.14
찌개 및 전골류,부대찌개,123,239.0,10.27,0.18,6.49,0.05,1.68,11.05,5.86
찌개 및 전골류,버섯샤브샤브,30,51.0,1.57,0.53,0.9,0.03,0.62,7.55,3.88
찌개 및 전골류,소고기샤브샤브,43,96.0,1.8,1.49,1.62,0.0,0.18,11.9,5.38
찌개 및 전골류,소고기전골,63,299.0,0.46,0.05,3.24,0.15,0.69,16.08,7.89
찌개 및 전골류,김치순두부찌개,35,151.0,2.17,0.32,1.59,0.01,0.46,4.6,2.98
찌개 및 전골류,알탕,39,250.0,1.74,0.0,0.74,0.01,0.16,80.81,6.37
찌개 및 전골류,오리백숙,112,161.0,0.5,0.25,7.5,0.05,1.56,51.85,10.59
찌개 및 전골류,오리탕,121,317.0,6.08,3.58,6.56,0.04,1.33,38.47,9.5
찌개 및 전골류,오징어찌개,34,285.0,4.77,0.45,0.22,0.0,0.05,26.34,3.3
찌개 및 전골류,청국장찌개,47,242.0,1.92,0.0,2.11,0.01,0.45,2.61,5.03
찌개 및 전골류,추어탕,54,246.0,3.07,0.0,3.18,0.01,0.31,15.84,3.24
찌개 및 전골류,콩비지찌개,69,289.0,3.57,3.25,3.08,0.01,0.51,7.12,6.74
찌개 및 전골류,고추장호박찌개,41,211.0,5.96,0.56,0.99,0.0,0.1,0.0,2.08
찜류,찐고구마고구마,139,10.0,32.47,16.32,0.24,0.01,0.05,0.0,1.67
찜류,가오리찜,102,151.0,0.46,0.06,1.39,0.0,0.26,91.28,21.99
찜류,소고기갈비찜,85,272.0,6.95,0.75,3.17,0.1,0.85,33.38,7.25
찜류,찐감자감자,70,3.0,15.01,0.86,0.16,0.0,0.03,0.0,2.16
찜류,깻잎찜,97,792.0,5.96,1.33,5.86,0.02,0.46,0.0,5.21
찜류,꼬막찜,96,736.0,6.97,1.03,2.28,0.04,0.59,38.3,12.03
찜류,꽈리고추찜,104,316.0,17.69,0.44,2.09,0.01,0.37,0.0,3.59
찜류,새우젓달걀찜,58,247.0,0.47,0.0,4.04,0.02,1.22,189.26,4.98
찜류,우유달걀찜,105,262.0,3.8,2.55,6.31,0.09,2.5,169.58,8.23
찜류,닭찜,107,224.0,0.6,0.0,6.09,0.02,0.98,66.22,12.37
찜류,돼지갈비찜,194,478.0,7.44,0.13,12.32,0.13,3.68,50.07,13.29
찜류,소고기사태찜,110,302.0,3.67,0.13,5.17,0.14,1.13,94.95,12.1
찜류,소고기수육,166,31.0,2.04,0.11,4.94,0.26,1.89,88.3,28.43
찜류,순대,187,604.0,35.73,1.39,3.64,0.02,1.12,26.24,2.75
찜류,아귀찜,84,392.0,7.26,2.73,3.13,0.02,0.48,51.39,6.72
찜류,애호박찜,181,161.0,21.18,1.81,6.48,0.07,1.44,12.54,9.5
찜류,찐옥수수옥수수,185,90.0,34.2,2.36,2.42,0.0,0.29,0.0,6.68
찜류,족발,233,345.0,0.93,0.0,13.91,0.06,4.66,91.72,26.04
찜류,코다리찜,94,620.0,6.08,2.5,1.35,0.01,0.31,60.96,14.49
찜류,해물콩나물찜,56,223.0,4.97,0.0,1.01,0.0,0.21,64.85,6.67
찜류,풋고추찜,51,708.0,8.27,1.44,0.99,0.0,0.14,0.0,2.31
구이류,가자미구이,123,315.0,0.66,0.0,5.02,0.1,0.82,84.33,18.7
구이류,소고기갈비구이,241,402.0,1.59,0.26,14.55,0.6,5.62,77.75,25.91
구이류,기름갈치구이,138,297.0,0.6,0.0,5.48,0.05,1.31,87.96,21.54
구이류,석쇠고등어구이,340,126.0,3.79,0.0,25.69,0.33,6.95,53.09,23.38
구이류,소고기곱창구이,184,1315.0,4.71,1.11,11.73,0.31,4.11,196.11,14.89
구이류,조미김김구이,470,4011.0,29.0,0.2,30.2,0.2,3.0,0.0,20.4
구이류,닭고기꼬치구이,245,417.0,10.35,1.66,14.7,0.13,4.16,76.62,17.85
구이류,닭구이,257,751.0,7.8,0.0,13.39,0.05,3.75,119.18,26.21
구이류,닭발구이,196,827.0,9.7,0.31,9.41,0.06,2.58,81.85,18.15
구이류,떡갈비,202,404.0,2.46,0.4,11.82,0.42,4.29,68.04,21.38
구이류,런천미트구이,303,954.0,3.27,1.71,24.38,0.16,9.01,35.69,17.56
구이류,뱅어포구이,374,1479.0,25.07,15.91,15.17,0.11,3.0,469.76,34.37
구이류,버섯구이,52,492.0,4.78,0.11,1.38,0.01,0.41,0.0,5.16
구이류,새송이버섯버섯구이,84,463.0,11.66,4.54,2.21,0.01,0.28,0.0,4.29
구이류,버섯구이표고버섯,100,435.0,18.14,1.4,1.06,0.04,0.65,0.0,4.34
구이류,삼겹살구이,467,576.0,0.35,0.0,41.69,0.34,12.42,39.72,22.56
구이류,고추장삼겹살구이,403,510.0,12.63,5.73,32.83,0.29,13.1,35.52,14.21
구이류,삼치구이,178,217.0,1.45,0.22,9.57,0.07,2.02,79.38,21.42
구이류,새우구이,145,330.0,2.82,0.03,4.44,0.05,0.74,233.98,23.41
구이류,소불고기,170,418.0,4.26,3.24,9.66,0.2,3.26,50.02,16.41
구이류,소등심스테이크,194,134.0,0.14,0.0,8.07,0.35,3.85,84.18,30.22
구이류,소안심스테이크,183,103.0,0.13,0.0,4.83,0.0,0.22,80.25,34.82
구이류,오리고기구이,293,708.0,4.89,0.0,19.7,0.09,4.82,132.33,24.06
구이류,오리불고기,145,467.0,9.05,6.29,9.05,0.05,2.04,31.13,6.75
구이류,고추장장어구이,259,322.0,6.18,0.44,17.21,0.34,4.68,131.89,19.82
구이류,키조개조개구이,130,454.0,10.44,3.6,2.07,0.0,0.09,25.29,17.43
구이류,조기구이,177,1364.0,0.44,0.0,10.86,0.12,3.08,91.79,19.33
구이류,머리참치구이,193,459.0,1.4,0.0,8.98,0.08,2.76,116.49,26.56
구이류,치킨데리야끼,208,267.0,15.21,0.11,9.01,0.06,2.59,53.29,16.54
구이류,함박스테이크,174,198.0,7.19,0.06,10.73,0.13,3.3,46.73,12.1
전·적 및 부침류,가지전,123,337.0,8.88,0.84,7.28,0.1,1.8,98.48,5.48
전·적 및 부침류,감자전,133,293.0,16.79,1.81,6.54,0.05,0.89,0.0,1.72
전·적 및 부침류,고구마전,227,87.0,35.99,14.26,7.98,0.06,1.19,0.0,2.92
전·적 및 부침류,김치전,134,240.0,19.01,4.21,4.2,0.04,0.87,54.91,5.05
전·적 및 부침류,달걀말이,193,449.0,1.45,0.0,13.21,0.08,3.33,339.85,17.21
전·적 및 부침류,달걀부침(달걀후라이),208,161.0,5.15,0.03,13.78,0.1,3.72,327.72,15.73
전·적 및 부침류,햄달걀부침(달걀후라이),277,591.0,8.06,0.0,21.59,0.21,6.65,77.39,12.71
전·적 및 부침류,두부부침,140,429.0,2.07,0.24,9.77,0.03,1.45,0.0,10.92
전·적 및 부침류,맛살전,165,559.0,19.69,1.14,6.24,0.06,1.21,64.18,7.48
전·적 및 부침류,메밀전,161,145.0,34.79,0.3,0.64,0.0,0.26,0.0,4.02
전·적 및 부침류,표고버섯버섯전,181,317.0,12.74,1.89,9.98,0.19,2.18,72.33,10.13
전·적 및 부침류,부추전,167,247.0,27.86,8.28,4.17,0.05,0.8,26.17,4.63
전·적 및 부침류,돼지고기산적,200,586.0,1.55,0.06,8.56,0.05,2.41,56.15,29.06
전·적 및 부침류,스크램블드에그,216,369.0,2.56,0.45,17.59,0.07,3.2,251.32,11.81
전·적 및 부침류,애호박전,122,224.0,6.73,2.32,8.62,0.08,1.33,75.99,4.35
전·적 및 부침류,돼지고기완자전,139,859.0,6.51,2.56,5.95,0.05,1.77,68.26,14.78
전·적 및 부침류,소고기완자전,162,381.0,4.68,0.2,7.56,0.1,1.61,72.61,18.73
전·적 및 부침류,참치완자전,173,567.0,13.57,3.69,6.49,0.08,1.5,69.88,15.0
전·적 및 부침류,해물완자전,222,591.0,18.04,3.41,11.61,0.17,3.43,61.22,11.46
전·적 및 부침류,채소전,145,259.0,22.59,2.06,4.5,0.06,0.89,19.62,3.57
전·적 및 부침류,해물파전,171,300.0,18.29,0.82,8.4,0.03,1.04,50.72,5.5
